FIELDNAME,LAT,LON,PERIODDATE,Oil Production Volumes,Gas Production Volumes,Water Production Volumes
BRAGE,60.58,3.02,2015-09-01,65640.0,26050.0,1228800.0
BRAGE,60.58,3.02,2015-10-01,58650.0,23819.999999999996,1093510.0
BRAGE,60.58,3.02,2015-11-01,51070.0,17240.000000000004,833429.9999999999
BRAGE,60.58,3.02,2015-12-01,49790.0,17930.0,1010789.9999999999
BRAGE,60.58,3.02,2016-01-01,69710.00000000001,22269.999999999996,1036740.0
BRAGE,60.58,3.02,2016-02-01,66860.0,24550.0,800760.0
BRAGE,60.58,3.02,2016-03-01,74530.0,30230.0,1050590.0
BRAGE,60.58,3.02,2016-04-01,66800.0,25869.999999999996,1038260.0
BRAGE,60.58,3.02,2016-05-01,65860.0,24330.0,1029099.9999999999
BRAGE,60.58,3.02,2016-06-01,65910.0,26289.999999999996,989700.0
BRAGE,60.58,3.02,2016-07-01,62759.99999999999,24550.0,1064310.0
BRAGE,60.58,3.02,2016-08-01,58210.00000000001,22590.0,1034540.0
BRAGE,60.58,3.02,2016-09-01,37580.0,12960.0,761289.9999999999
BRAGE,60.58,3.02,2016-10-01,49220.0,18590.0,891579.9999999999
BRAGE,60.58,3.02,2016-11-01,47460.0,13940.000000000002,899450.0
BRAGE,60.58,3.02,2016-12-01,49490.0,15210.0,881820.0
BRAGE,60.58,3.02,2017-01-01,46390.0,15040.000000000002,887089.9999999999
BRAGE,60.58,3.02,2017-02-01,41550.0,14090.0,784220.0
BRAGE,60.58,3.02,2017-03-01,41600.0,14880.0,755200.0
BRAGE,60.58,3.02,2017-04-01,37350.0,13230.0,768339.9999999999
BRAGE,60.58,3.02,2017-05-01,45540.0,17840.0,932489.9999999999
BRAGE,60.58,3.02,2017-06-01,40090.0,13050.0,807589.9999999999
BRAGE,60.58,3.02,2017-07-01,40200.0,11960.0,928050.0
BRAGE,60.58,3.02,2017-08-01,39230.0,11020.0,942620.0000000001
BRAGE,60.58,3.02,2017-09-01,43250.0,9990.0,927530.0
BRAGE,60.58,3.02,2017-10-01,47180.0,9320.0,964450.0
BRAGE,60.58,3.02,2017-11-01,42470.0,10000.0,1056500.0
BRAGE,60.58,3.02,2017-12-01,45040.0,11150.0,1210189.9999999998
BRAGE,60.58,3.02,2018-01-01,42220.0,11070.0,1174540.0
BRAGE,60.58,3.02,2018-02-01,37630.00000000001,15230.0,1110460.0
BRAGE,60.58,3.02,2018-03-01,44520.0,19410.0,1004650.0
DRAUGEN,64.21114200000001,7.465738000000001,1993-10-01,18570.0,850.0,0.0
DRAUGEN,64.21114200000001,7.465738000000001,1993-11-01,77100.0,3629.9999999999995,0.0
DRAUGEN,64.21114200000001,7.465738000000001,1993-12-01,27469.999999999996,1340.0,0.0
DRAUGEN,64.21114200000001,7.465738000000001,1994-01-01,139030.0,6490.000000000001,0.0
DRAUGEN,64.21114200000001,7.465738000000001,1994-02-01,34640.0,1400.0,0.0
DRAUGEN,64.21114200000001,7.465738000000001,1994-03-01,66300.0,2440.0,0.0
DRAUGEN,64.21114200000001,7.465738000000001,1994-04-01,164990.0,6540.000000000001,0.0
DRAUGEN,64.21114200000001,7.465738000000001,1994-05-01,127330.0,5250.0,0.0
DRAUGEN,64.21114200000001,7.465738000000001,1994-06-01,316230.0,14219.999999999998,590.0
DRAUGEN,64.21114200000001,7.465738000000001,1994-07-01,341090.0,17710.0,650.0
DRAUGEN,64.21114200000001,7.465738000000001,1994-08-01,524850.0,28910.0,5920.0
DRAUGEN,64.21114200000001,7.465738000000001,1994-09-01,517750.00000000006,28770.0,10970.0
DRAUGEN,64.21114200000001,7.465738000000001,1994-10-01,525820.0,29250.0,13269.999999999998
DRAUGEN,64.21114200000001,7.465738000000001,1994-11-01,524650.0,27000.0,15969.999999999998
DRAUGEN,64.21114200000001,7.465738000000001,1994-12-01,604310.0,31219.999999999996,17610.0
DRAUGEN,64.21114200000001,7.465738000000001,1995-01-01,361650.0,18750.0,0.0
DRAUGEN,64.21114200000001,7.465738000000001,1995-02-01,533110.0000000001,28820.0,0.0
DRAUGEN,64.21114200000001,7.465738000000001,1995-03-01,495210.00000000006,26960.0,0.0
DRAUGEN,64.21114200000001,7.465738000000001,1995-04-01,537510.0,29420.0,0.0
DRAUGEN,64.21114200000001,7.465738000000001,1995-05-01,649740.0,35380.0,0.0
DRAUGEN,64.21114200000001,7.465738000000001,1995-06-01,361660.0,20120.0,0.0
DRAUGEN,64.21114200000001,7.465738000000001,1995-07-01,671810.0,34370.0,0.0
DRAUGEN,64.21114200000001,7.465738000000001,1995-08-01,654940.0,33350.0,0.0
DRAUGEN,64.21114200000001,7.465738000000001,1995-09-01,681500.0,35050.0,0.0
DRAUGEN,64.21114200000001,7.465738000000001,1995-10-01,683250.0,35100.0,0.0
DRAUGEN,64.21114200000001,7.465738000000001,1995-11-01,660370.0,34130.0,0.0
DRAUGEN,64.21114200000001,7.465738000000001,1995-12-01,680150.0,35789.99999999999,0.0
DRAUGEN,64.21114200000001,7.465738000000001,1996-01-01,666740.0,34220.0,0.0
DRAUGEN,64.21114200000001,7.465738000000001,1996-02-01,681730.0,35190.0,0.0
DRAUGEN,64.21114200000001,7.465738000000001,1996-03-01,734140.0,38100.0,0.0
DRAUGEN,64.21114200000001,7.465738000000001,1996-04-01,614600.0,31600.000000000004,0.0
DRAUGEN,64.21114200000001,7.465738000000001,1996-05-01,402060.0,21560.0,0.0
DRAUGEN,64.21114200000001,7.465738000000001,1996-06-01,726830.0,39290.0,0.0
DRAUGEN,64.21114200000001,7.465738000000001,1996-07-01,747039.9999999999,40770.0,0.0
DRAUGEN,64.21114200000001,7.465738000000001,1996-08-01,737030.0,40139.99999999999,0.0
DRAUGEN,64.21114200000001,7.465738000000001,1996-09-01,723670.0,40100.0,0.0
DRAUGEN,64.21114200000001,7.465738000000001,1996-10-01,784750.0,43350.0,0.0
DRAUGEN,64.21114200000001,7.465738000000001,1996-11-01,771710.0,44080.0,0.0
DRAUGEN,64.21114200000001,7.465738000000001,1996-12-01,854050.0,48870.0,0.0
DRAUGEN,64.21114200000001,7.465738000000001,1997-01-01,892130.0,51329.99999999999,0.0
DRAUGEN,64.21114200000001,7.465738000000001,1997-02-01,779389.9999999999,44600.0,0.0
DRAUGEN,64.21114200000001,7.465738000000001,1997-03-01,701700.0,38239.99999999999,0.0
DRAUGEN,64.21114200000001,7.465738000000001,1997-04-01,868760.0000000001,46160.0,0.0
DRAUGEN,64.21114200000001,7.465738000000001,1997-05-01,655760.0,35050.0,0.0
DRAUGEN,64.21114200000001,7.465738000000001,1997-06-01,866310.0,46320.0,0.0
DRAUGEN,64.21114200000001,7.465738000000001,1997-07-01,904230.0,47220.0,0.0
DRAUGEN,64.21114200000001,7.465738000000001,1997-08-01,946120.0000000001,49730.0,0.0
DRAUGEN,64.21114200000001,7.465738000000001,1997-09-01,934850.0,46400.0,0.0
DRAUGEN,64.21114200000001,7.465738000000001,1997-10-01,949320.0,47100.0,0.0
DRAUGEN,64.21114200000001,7.465738000000001,1997-11-01,948050.0,46700.0,0.0
DRAUGEN,64.21114200000001,7.465738000000001,1997-12-01,1004999.9999999999,48560.0,1180.0
DRAUGEN,64.21114200000001,7.465738000000001,1998-01-01,978810.0000000001,48130.0,1310.0
DRAUGEN,64.21114200000001,7.465738000000001,1998-02-01,881100.0,43820.0,7030.0
DRAUGEN,64.21114200000001,7.465738000000001,1998-03-01,765450.0,37670.0,14650.0
DRAUGEN,64.21114200000001,7.465738000000001,1998-04-01,957300.0,46980.0,17980.0
DRAUGEN,64.21114200000001,7.465738000000001,1998-05-01,785620.0,37980.0,8500.0
DRAUGEN,64.21114200000001,7.465738000000001,1998-06-01,929630.0,46930.0,15609.999999999998
DRAUGEN,64.21114200000001,7.465738000000001,1998-07-01,959750.0,47130.0,17090.0
DRAUGEN,64.21114200000001,7.465738000000001,1998-08-01,1009360.0,48090.0,19160.0
DRAUGEN,64.21114200000001,7.465738000000001,1998-09-01,951890.0,44570.0,19080.0
DRAUGEN,64.21114200000001,7.465738000000001,1998-10-01,1008010.0000000001,49680.0,20880.000000000004
DRAUGEN,64.21114200000001,7.465738000000001,1998-11-01,969920.0000000001,48700.0,20430.0
DRAUGEN,64.21114200000001,7.465738000000001,1998-12-01,997290.0,50110.0,21700.0
DRAUGEN,64.21114200000001,7.465738000000001,1999-01-01,1013420.0,50710.00000000001,21410.0
DRAUGEN,64.21114200000001,7.465738000000001,1999-02-01,917410.0000000001,45950.0,18590.0
DRAUGEN,64.21114200000001,7.465738000000001,1999-03-01,1017670.0000000001,50680.0,23160.0
DRAUGEN,64.21114200000001,7.465738000000001,1999-04-01,993210.0,49430.0,22609.999999999996
DRAUGEN,64.21114200000001,7.465738000000001,1999-05-01,813450.0,40369.99999999999,16630.000000000004
