FIELDNAME,LAT,LON,PERIODDATE,Oil Production Volumes,Gas Production Volumes,Water Production Volumes,Cumulative Oil Production Volumes,Cumulative Gas Production Volumes,Cumulative Water Production Volumes
BRAGE,60.58,3.02,2000-03-01T00:00:00.000Z,218690.0,24370.0,420080.0,35247690.0,3124890.0,1285170.0
BRAGE,60.58,3.02,2000-04-01T00:00:00.000Z,213360.0,22310.0,419369.99999999994,35461050.0,3147200.0,1704540.0
BRAGE,60.58,3.02,2000-05-01T00:00:00.000Z,243709.99999999997,23880.000000000004,449400.0,35704760.0,3171080.0,2153940.0
BRAGE,60.58,3.02,2000-06-01T00:00:00.000Z,230319.99999999997,22080.000000000004,430289.99999999994,35935080.0,3193160.0,2584230.0
BRAGE,60.58,3.02,2000-07-01T00:00:00.000Z,230069.99999999997,23730.0,419080.0,36165150.0,3216890.0,3003310.0
BRAGE,60.58,3.02,2000-08-01T00:00:00.000Z,229640.0,23500.0,430550.0,36394790.0,3240390.0,3433860.0
BRAGE,60.58,3.02,2000-09-01T00:00:00.000Z,200130.0,22850.0,389190.00000000006,36594920.0,3263240.0,3823050.0
BRAGE,60.58,3.02,2000-10-01T00:00:00.000Z,194720.0,24310.0,394600.0,36789640.0,3287550.0,4217650.0
BRAGE,60.58,3.02,2000-11-01T00:00:00.000Z,209050.0,25150.0,399430.0,36998690.0,3312700.0,4617080.0
BRAGE,60.58,3.02,2000-12-01T00:00:00.000Z,203409.99999999997,21330.0,405670.0,37202100.0,3334030.0,5022750.0
BRAGE,60.58,3.02,2001-01-01T00:00:00.000Z,233319.99999999997,26940.0,536510.0,37435420.0,3360970.0,5559260.0
BRAGE,60.58,3.02,2001-02-01T00:00:00.000Z,196529.99999999997,24419.999999999996,465389.99999999994,37631950.0,3385390.0,6024650.0
BRAGE,60.58,3.02,2001-03-01T00:00:00.000Z,202950.0,27200.0,425390.0,37834900.0,3412590.0,6450040.0
BRAGE,60.58,3.02,2001-04-01T00:00:00.000Z,207280.00000000003,26150.0,495480.00000000006,38042180.0,3438740.0,6945520.0
BRAGE,60.58,3.02,2001-05-01T00:00:00.000Z,216540.0,31469.999999999996,538020.0,38258720.0,3470210.0,7483540.0
BRAGE,60.58,3.02,2001-06-01T00:00:00.000Z,110959.99999999999,17340.0,307280.0,38369680.0,3487550.0,7790820.0
BRAGE,60.58,3.02,2001-07-01T00:00:00.000Z,183009.99999999997,23280.000000000004,518549.99999999994,38552690.0,3510830.0,8309370.0
BRAGE,60.58,3.02,2001-08-01T00:00:00.000Z,196700.0,26889.999999999996,564770.0,38749390.0,3537720.0,8874140.0
BRAGE,60.58,3.02,2001-09-01T00:00:00.000Z,188140.0,26900.0,563780.0000000001,38937530.0,3564620.0,9437920.0
BRAGE,60.58,3.02,2001-10-01T00:00:00.000Z,185490.00000000003,27030.000000000004,594370.0,39123020.0,3591650.0,10032290.0
BRAGE,60.58,3.02,2001-11-01T00:00:00.000Z,167380.0,25620.0,584020.0,39290400.0,3617270.0,10616310.0
BRAGE,60.58,3.02,2001-12-01T00:00:00.000Z,152840.0,22850.0,592730.0,39443240.0,3640120.0,11209040.0
BRAGE,60.58,3.02,2002-01-01T00:00:00.000Z,201850.0,25240.000000000004,538950.0,39645090.0,3665360.0,11747990.0
BRAGE,60.58,3.02,2002-02-01T00:00:00.000Z,190530.0,22400.0,454910.00000000006,39835620.0,3687760.0,12202900.0
BRAGE,60.58,3.02,2002-03-01T00:00:00.000Z,72150.0,7409.999999999999,159100.0,39907770.0,3695170.0,12362000.0
BRAGE,60.58,3.02,2002-04-01T00:00:00.000Z,208510.0,20760.0,537020.0,40116280.0,3715930.0,12899020.0
BRAGE,60.58,3.02,2002-05-01T00:00:00.000Z,228050.0,24790.0,500869.99999999994,40344330.0,3740720.0,13399890.0
