,FIELDNAME,LAT,LON
330,DEBEN,0,0
331,DELILAH,0,0
332,CYGNUS,0,0
333,CUTTER,0,0
334,CORVETTE,0,0
335,DAVY EAST,0,0
336,DURANGO,0,0
337,ERIS,0,0
338,ENSIGN,0,0
339,GORDON,0,0
340,EXCALIBUR,0,0
341,GANYMEDE,0,0
342,GROVE,0,0
343,GALAHAD,0,0
344,GALLEON,0,0
345,GAWAIN,0,0
346,EUROPA,0,0
347,ESMOND,0,0
348,FORBES,0,0
349,GARROW,0,0
350,GUINEVERE,0,0
351,INDEFATIGABLE [PERENCO],0,0
352,HEWETT,0,0
353,HAWKSLEY,0,0
354,HOTON,0,0
355,HUNTER,0,0
356,INDEFATIGABLE [SHELL],0,0
357,HELVELLYN,0,0
358,HORNE,0,0
359,HYDE,0,0
360,KILMAR,0,0
361,LEMAN [PERENCO][pt. of LEMAN],53.082184,2.168079
362,INDEFATIGABLE SOUTH WEST,0,0
363,JULIET,0,0
364,KATY,0,0
365,KELVIN,0,0
366,MARKHAM,0,0
367,MERCURY,0,0
368,MINKE,0,0
369,MIMAS,0,0
370,MORDRED,0,0
371,LEMAN [SHELL][pt. of LEMAN],0,0
372,MINERVA,0,0
373,MURDOCH,0,0
374,MALORY,0,0
375,MUNRO,0,0
376,MCADAM,0,0
377,LEMAN SOUTH,0,0
378,JOHNSTON,0,0
379,LANCELOT,0,0
380,KETCH,0,0
381,KEW,0,0
382,NORTH VALIANT,0,0
383,ORWELL,0,0
384,MURDOCH K,0,0
385,NEWSHAM,0,0
386,PICKERILL,0,0
387,NORTH DAVY,0,0
388,NORTH SEAN,0,0
389,NEPTUNE,0,0
390,ORCA,0,0
391,SCHOONER,0,0
392,RAVENSPURN N[pt.of RAVENSPURN],0,0
393,RAVENSPURN S[pt.of RAVENSPURN],0,0
394,RITA,0,0
395,ROUGH,0,0
396,SATURN (ANNABEL),0,0
397,"SATURN (ATLAS, HYPERION, RHEA)",0,0
398,ROSE,0,0
399,TRISTAN,0,0
400,SEVEN SEAS,0,0
401,SOUTH VALIANT,0,0
402,THAMES,0,0
403,TRENT,0,0
404,SINOPE,0,0
405,SHAMROCK,0,0
406,STAMFORD,0,0
407,TOPAZ,0,0
408,TETHYS,0,0
409,TYNE NORTH,0,0
410,VAMPIRE,0,0
411,SKIFF,0,0
412,THURNE,0,0
413,VIKING B [pt of VIKING GROUP],0,0
414,VICTOR,0,0
415,SOUTH SEAN,0,0
416,VALKYRIE,0,0
417,TRISTAN NW,0,0
418,TYNE SOUTH,0,0
419,VANGUARD,0,0
420,VICTORIA,0,0
421,VISCOUNT,0,0
422,VIKING A [pt of VIKING GROUP],0,0
423,VIKING,0,0
424,VULCAN,0,0
425,WENLOCK,0,0
426,WENSUM,0,0
427,WELLAND NORTH WEST,0,0
428,WEST SOLE,0,0
429,WAVENEY,0,0
430,WHITTLE,0,0
431,VIXEN,0,0
432,WATT,0,0
433,WELLAND SOUTH,0,0
434,SCHIEHALLION,0,0
435,FOINAVEN,0,0
436,WINGATE,0,0
437,YARE,0,0
438,YORK,0,0
439,WISSEY,0,0
440,WINDERMERE,0,0
441,LOYAL [Part of SCHIEHALLION],0,0
442,CLAIR-PHASE 1 [Part of CLAIR],60.45,2.24
443,GLENLIVET,0,0
444,LAGGAN,0,0
445,TORMORE,0,0
446,ALBURY,0,0
447,EDRADOUR,0,0
448,CORRINGHAM,0,0
449,WREN,0,0
450,SOLAN,0,0
451,BLETCHINGLEY,0,0
452,CROSBY WARREN,0,0
453,AVINGTON,0,0
454,BECKINGHAM WEST,0,0
455,CAYTHORPE,0,0
456,BOTHAMSALL,0,0
457,BECKINGHAM,0,0
458,COLD HANWORTH,0,0
459,BROCKHAM,0,0
460,AIRTH COAL BED METHANE DEVT.,0,0
461,HATFIELD,0,0
462,DUKES WOOD,0,0
463,EAST GLENTWORTH,0,0
464,ELSWICK,0,0
465,FISKERTON AIRFIELD,0,0
466,FARLEYS WOOD,0,0
467,HORNDEAN,0,0
468,KIRKLEATHAM,0,0
469,KIRKLINGTON,0,0
470,KEDDINGTON,0,0
471,HUMBLY GROVE,0,0
472,KIRBY MISPERTON,0,0
473,LIDSEY,0,0
474,KIMMERIDGE,0,0
475,HERRIARD [pt. of HUMBLY GROVE],0,0
476,IRONVILLE,0,0
477,LONG CLAWSON,0,0
478,GAINSBOROUGH,0,0
479,GLENTWORTH,0,0
480,GOODWORTH,0,0
481,EGMANTON,0,0
482,DOE GREEN COAL BED METHANE,0,0
483,REMPSTONE,0,0
484,MALTON,0,0
485,SALTFLEETBY,0,0
486,SCAMPTON,0,0
487,NETTLEHAM,0,0
488,PALMERS WOOD,0,0
489,MARISHES,0,0
490,PICKERING,0,0
491,NEWTON-ON-TRENT,0,0
492,SCAMPTON NORTH,0,0
493,SINGLETON,0,0
494,STORRINGTON,0,0
495,STOCKBRIDGE,0,0
496,STAINTON,0,0
497,TRUMFLEET,0,0
498,SOUTH LEVERTON,0,0
499,WAREHAM,0,0
500,WEST FIRSBY,0,0
501,WADDOCK CROSS,0,0
502,WHISBY,0,0
503,WELTON,0,0
